time,solar
2021-06-10 22:30:00,0.0
2021-06-10 22:35:00,0.0
2021-06-10 22:40:00,0.0
2021-06-10 22:45:00,0.0
2021-06-10 22:50:00,0.0
2021-06-10 22:55:00,0.0
2021-06-10 23:00:00,0.0
2021-06-10 23:05:00,0.0
2021-06-10 23:10:00,0.0
2021-06-10 23:15:00,0.0
2021-06-10 23:20:00,0.0
2021-06-10 23:25:00,0.0
2021-06-10 23:30:00,0.0
2021-06-10 23:35:00,0.0
2021-06-10 23:40:00,0.0
2021-06-10 23:45:00,0.0
2021-06-10 23:50:00,0.0
2021-06-10 23:55:00,0.0
2021-06-11 00:00:00,0.0
2021-06-11 00:05:00,0.0
2021-06-11 00:10:00,0.0
2021-06-11 00:15:00,0.0
2021-06-11 00:20:00,0.0
2021-06-11 00:25:00,0.0
2021-06-11 00:30:00,0.0
2021-06-11 00:35:00,0.0
2021-06-11 00:40:00,0.0
2021-06-11 00:45:00,0.0
2021-06-11 00:50:00,0.0
2021-06-11 00:55:00,0.0
2021-06-11 01:00:00,0.0
2021-06-11 01:05:00,0.0
2021-06-11 01:10:00,0.0
2021-06-11 01:15:00,0.0
2021-06-11 01:20:00,0.0
2021-06-11 01:25:00,0.0
2021-06-11 01:30:00,0.0
2021-06-11 01:35:00,0.0
2021-06-11 01:40:00,0.0
2021-06-11 01:45:00,0.0
2021-06-11 01:50:00,0.0
2021-06-11 01:55:00,0.0
2021-06-11 02:00:00,0.0
2021-06-11 02:05:00,0.0
2021-06-11 02:10:00,0.0
2021-06-11 02:15:00,0.0
2021-06-11 02:20:00,0.0
2021-06-11 02:25:00,0.0
2021-06-11 02:30:00,0.0
2021-06-11 02:35:00,0.0
2021-06-11 02:40:00,0.0
2021-06-11 02:45:00,0.0
2021-06-11 02:50:00,0.0
2021-06-11 02:55:00,0.0
2021-06-11 03:00:00,0.0
2021-06-11 03:05:00,0.0
2021-06-11 03:10:00,0.0
2021-06-11 03:15:00,0.0
2021-06-11 03:20:00,0.0
2021-06-11 03:25:00,0.0
2021-06-11 03:30:00,0.0
2021-06-11 03:35:00,0.0
2021-06-11 03:40:00,0.0
2021-06-11 03:45:00,0.0
2021-06-11 03:50:00,0.0
2021-06-11 03:55:00,0.0
2021-06-11 04:00:00,0.0
2021-06-11 04:05:00,0.0
2021-06-11 04:10:00,0.0
2021-06-11 04:15:00,0.0
2021-06-11 04:20:00,0.0
2021-06-11 04:25:00,0.0
2021-06-11 04:30:00,0.0
2021-06-11 04:35:00,0.0
2021-06-11 04:40:00,0.0
2021-06-11 04:45:00,1.2
2021-06-11 04:50:00,2.6
2021-06-11 04:55:00,4.4
2021-06-11 05:00:00,6.0
2021-06-11 05:05:00,8.2
2021-06-11 05:10:00,10.8
2021-06-11 05:15:00,13.0
2021-06-11 05:20:00,16.0
2021-06-11 05:25:00,18.4
2021-06-11 05:30:00,20.8
2021-06-11 05:35:00,23.6
2021-06-11 05:40:00,26.8
2021-06-11 05:45:00,31.0
2021-06-11 05:50:00,36.0
2021-06-11 05:55:00,40.0
2021-06-11 06:00:00,44.8
2021-06-11 06:05:00,49.0
2021-06-11 06:10:00,51.8
2021-06-11 06:15:00,52.0
2021-06-11 06:20:00,56.4
2021-06-11 06:25:00,101.6
2021-06-11 06:30:00,165.4
2021-06-11 06:35:00,170.4
2021-06-11 06:40:00,191.4
2021-06-11 06:45:00,198.2
2021-06-11 06:50:00,210.0
2021-06-11 06:55:00,230.8
2021-06-11 07:00:00,250.8
2021-06-11 07:05:00,260.6
